NPartida,Clube,Apelido,Momento,Nome,Camisa
125,Goiás - GO,Vinicius,24' (2ºT),Vinicius Rodrigues Adelino dos Santos,7.0
125,Goiás - GO,Vinicius,24' (2ºT),Vinicius Santos Silva,7.0
126,Atlético Mineiro - MG,Hulk,27' (1ºT),Givanildo Vieira de Sousa,7.0
126,Atlético Mineiro - MG,Zaracho,2' (1ºT),Federico Matias Zaracho,15.0
126,America Saf - MG,Gonzalo Mastriani,13' (2ºT),Gonzalo Mathias Mastriani Borges,17.0
126,America Saf - MG,Gonzalo Mastriani,26' (2ºT),Gonzalo Mathias Mastriani Borges,17.0
128,Athletico Paranaense - PR,Vitor Roque,27' (2ºT),Vitor Hugo Roque Ferreira,9.0
128,Athletico Paranaense - PR,Vitor Bueno,21' (2ºT),Vitor Frezarin Bueno,8.0
128,Palmeiras - SP,Gabriel Menino,12' (2ºT),Gabriel Vinicius Menino,25.0
128,Palmeiras - SP,Endrick,22' (1ºT),Endrick Felipe Moreira de Sousa,9.0
129,Bahia - BA,Kayky Chagas,20' (1ºT),,
129,Grêmio - RS,Cristaldo,8' (1ºT),Franco Sebastian Cristaldo,19.0
129,Grêmio - RS,G. Martins,45+4' (2ºT),Gustavo Martins de Souza Santos,0.0
130,Cuiabá Saf - MT,RIKELME,40' (2ºT),Rikelme Hernandes Amorim Rocha,0.0
130,Cuiabá Saf - MT,Denilson,30' (2ºT),Denilson Alves Borges,27.0
130,Cuiabá Saf - MT,Deyverson,7' (2ºT),Deyverson Brum Silva,16.0
131,Fluminense - RJ,German Cano,24' (1ºT),German Ezequiel Cano,14.0
131,Fluminense - RJ,Martinelli,39' (1ºT),Matheus Martinelli Lima,0.0
132,Cruzeiro Saf - MG,Filipe Machado,45+3' (1ºT),Luiz Filipe da Rosa Machado,23.0
133,Palmeiras - SP,Dudu,23' (1ºT),Eduardo Pereira Rodrigues,7.0
133,Flamengo - RJ,De Arrascaeta,35' (2ºT),Giorgian Daniel de Arrascaeta Benedetti,0.0
134,Santos - SP,Mendoza,45' (1ºT),John Steven Mendoza Valencia,0.0
134,Santos - SP,Mendoza,45+3' (2ºT),John Steven Mendoza Valencia,0.0
134,Santos - SP,Marcos Leonardo,15' (1ºT),Marcos Leonardo Santos Almeida,9.0
134,Santos - SP,Marcos Leonardo,29' (1ºT),Marcos Leonardo Santos Almeida,9.0
134,Goiás - GO,Guilherme,39' (1ºT),Guilherme Costa Marques,60.0
134,Goiás - GO,Guilherme,15' (2ºT),Guilherme Costa Marques,60.0
134,Goiás - GO,Joao,35' (2ºT),Joao Victo Magno de Souza Machado,0.0
136,Corinthians - SP,Roger Guedes,40' (1ºT),,
137,Botafogo - RJ,Carlos Alberto,41' (2ºT),Carlos Alberto Gomes da Silva Filho,0.0
137,Botafogo - RJ,Carlos,29' (2ºT),Carlos Eduardo de Oliveira Alves,33.0
138,Coritiba S.a.f. - PR,Robson,43' (1ºT),Robson dos Santos Fernandes,0.0
138,Coritiba S.a.f. - PR,Alef Manga,39' (1ºT),,
138,Coritiba S.a.f. - PR,Victor,45+6' (2ºT),Victor Luis Chuab Zamblauskas,0.0
138,America Saf - MG,Juninho,7' (1ºT),Adilson dos Anjos Oliveira,8.0
139,Fortaleza - CE,Yago,38' (2ºT),Glaybson Yago Souza Lisbôa,22.0
140,Cuiabá Saf - MT,ALAN,5' (2ºT),Alan Pereira Empereur,33.0
140,Cuiabá Saf - MT,Deyverson,17' (1ºT),Deyverson Brum Silva,16.0
142,Botafogo - RJ,Di Placido,15' (2ºT),Leonel Di Placido,24.0
142,Botafogo - RJ,Carlos,2' (2ºT),Carlos Eduardo de Oliveira Alves,33.0
143,São Paulo - SP,Calleri,21' (1ºT),Jonathan Calleri,9.0
143,São Paulo - SP,Calleri,45+1' (1ºT),Jonathan Calleri,9.0
143,São Paulo - SP,David,34' (2ºT),David Correa da Fonseca,22.0
143,São Paulo - SP,Alexandre Pato,43' (2ºT),Alexandre Rodrigues da Silva,0.0
143,Santos - SP,Marcos Leonardo,45+3' (2ºT),Marcos Leonardo Santos Almeida,9.0
144,Corinthians - SP,Fabio Santos,44' (1ºT),Fabio Santos Romeu,6.0
144,Corinthians - SP,Giuliano,22' (2ºT),Giuliano Victor de Paula,20.0
144,Corinthians - SP,Lucas Verissimo,45+4' (1ºT),Lucas Verissimo da Silva,0.0
144,Corinthians - SP,Yuri Alberto,45+5' (1ºT),Yuri Alberto Monteiro da Silva,9.0
144,Grêmio - RS,Suarez,13' (2ºT),Luis Alberto Suarez Diaz,9.0
144,Grêmio - RS,Nathan,20' (1ºT),Nathan Allan de Souza,7.0
144,Grêmio - RS,Nathan,20' (1ºT),Nathan Ribeiro Fernandes,7.0
144,Grêmio - RS,Galdino,5' (2ºT),Everton Galdino Moreira,13.0
144,Grêmio - RS,Cristaldo,26' (1ºT),Franco Sebastian Cristaldo,19.0
148,Athletico Paranaense - PR,Vitor Roque,23' (1ºT),Vitor Hugo Roque Ferreira,9.0
148,Athletico Paranaense - PR,Erick,34' (1ºT),Erick Luis Conrado Carvalho,26.0
149,Cuiabá Saf - MT,Deyverson,18' (1ºT),Deyverson Brum Silva,16.0
150,Vasco da Gama S.a.f. - RJ,Jair,45+2' (2ºT),Jair Rodrigues Junior,8.0
151,Flamengo - RJ,Victor Hugo,45+4' (2ºT),Victor Hugo Gomes Silva,29.0
151,America Saf - MG,Felipe Azevedo,39' (2ºT),Felipe Azevedo dos Santos,11.0
152,Athletico Paranaense - PR,Christian,25' (2ºT),Christian Roberto Alves Cardoso,88.0
152,Athletico Paranaense - PR,Vitor Bueno,34' (2ºT),Vitor Frezarin Bueno,8.0
153,Palmeiras - SP,Breno,45+5' (2ºT),Breno Henrique Vasconcelos Lopes,19.0
153,Palmeiras - SP,Richard Rios,7' (1ºT),Richard Rios Montoya,27.0
153,Palmeiras - SP,Raphael Veiga,35' (2ºT),Raphael Cavalcante Veiga,0.0
153,Fortaleza - CE,Lucero,44' (1ºT),Juan Martin Lucero,9.0
154,Santos - SP,Marcos Leonardo,23' (1ºT),Marcos Leonardo Santos Almeida,9.0
154,Santos - SP,Marcos Leonardo,36' (2ºT),Marcos Leonardo Santos Almeida,9.0
154,Botafogo - RJ,Tiquinho,38' (2ºT),Francisco das Chagas Soares dos Santos,9.0
154,Botafogo - RJ,Adryelson,42' (2ºT),Adryelson Shawann Lima Silva,34.0
156,Goiás - GO,Joao,27' (1ºT),Joao Victo Magno de Souza Machado,0.0
157,Grêmio - RS,Ronald,10' (1ºT),Ronald Cardoso Falkoski,0.0
158,Coritiba S.a.f. - PR,Diogo,27' (1ºT),Diogo de Oliveira Barbosa,0.0
158,Coritiba S.a.f. - PR,Robson,23' (1ºT),Robson dos Santos Fernandes,0.0
160,Cuiabá Saf - MT,PITTA,32' (2ºT),Isidro Miguel Pitta Saldivar,9.0
160,Cuiabá Saf - MT,Clayson,20' (2ºT),Clayson Henrique da Silva Vieira,0.0
160,São Paulo - SP,Nathan,45+4' (2ºT),Nathan Gabriel de Souza Mendes,45.0
161,Fluminense - RJ,German Cano,32' (2ºT),German Ezequiel Cano,14.0
162,Botafogo - RJ,Tiquinho,36' (1ºT),Francisco das Chagas Soares dos Santos,9.0
162,Botafogo - RJ,Tiquinho,5' (2ºT),Francisco das Chagas Soares dos Santos,9.0
162,Botafogo - RJ,Gustavo,2' (1ºT),,
162,Botafogo - RJ,Gustavo,45+3' (1ºT),,
162,Coritiba S.a.f. - PR,Bruno Gomes,8' (1ºT),Bruno Gomes da Silva Clevelario,0.0
164,Corinthians - SP,Maycon,18' (1ºT),Maycon de Andrade Barberan,7.0
164,Corinthians - SP,Roger Guedes,28' (2ºT),,
164,Corinthians - SP,Yuri Alberto,16' (2ºT),Yuri Alberto Monteiro da Silva,9.0
164,Vasco da Gama S.a.f. - RJ,Gabriel Pec,25' (2ºT),Gabriel Fortes Chaves,11.0
165,Goiás - GO,Matheus Babi,32' (2ºT),Matheus Barcelos da Silva,0.0
166,Atlético Mineiro - MG,Paulinho,32' (1ºT),Paulo Henrique Sampaio Filho,10.0
166,Flamengo - RJ,Wesley,42' (2ºT),Wesley Vinicius França Lima,43.0
166,Flamengo - RJ,De Arrascaeta,34' (2ºT),Giorgian Daniel de Arrascaeta Benedetti,0.0
167,Internacional - RS,BUSTOS,15' (1ºT),Fabricio Tomas Bustos Sein,0.0
167,Cuiabá Saf - MT,Raniele,43' (1ºT),Raniele Almeida Melo,14.0
167,Cuiabá Saf - MT,Deyverson,42' (2ºT),Deyverson Brum Silva,16.0
168,Athletico Paranaense - PR,Pablo,32' (2ºT),Pablo Felipe Teixeira,92.0
168,Athletico Paranaense - PR,Madson,41' (1ºT),Madson Ferreira dos Santos,22.0
168,Athletico Paranaense - PR,Fernandinho,41' (2ºT),Fernando Luiz Roza,5.0
168,Cruzeiro Saf - MG,Arthur Gomes,7' (1ºT),Arthur Gomes Lourenco,0.0
168,Cruzeiro Saf - MG,Arthur Gomes,36' (1ºT),Arthur Gomes Lourenco,0.0
168,Cruzeiro Saf - MG,Wesley Ribeiro Silva,36' (2ºT),Wesley Ribeiro Silva,11.0
169,Red Bull Bragantino - SP,Luan Candido,23' (1ºT),Luan Candido de Almeida,0.0
169,Red Bull Bragantino - SP,Bruninho,23' (2ºT),Bruno Gonçalves de Jesus,17.0
169,Red Bull Bragantino - SP,Thiago Borbas,45+1' (2ºT),Thiago Nicolas Borbas Silva,18.0
170,America Saf - MG,Nicolas,38' (1ºT),Nicolas Vichiatto da Silva,30.0
170,Palmeiras - SP,Artur,7' (2ºT),Artur Victor Guimaraes,14.0
170,Palmeiras - SP,Murilo,17' (1ºT),Murilo Cerqueira Paim,26.0
170,Palmeiras - SP,Rony,25' (1ºT),Ronielson da Silva Barbosa,0.0
170,Palmeiras - SP,Rony,13' (2ºT),Ronielson da Silva Barbosa,0.0
171,Fluminense - RJ,John Kennedy,13' (2ºT),John Kennedy Batista de Souza,9.0
171,Fluminense - RJ,Jhon Arias,14' (1ºT),Jhon Adolfo Arias Andrade,21.0
171,Palmeiras - SP,Gustavo Gomez,45+5' (2ºT),Gustavo Raul Gomez Portillo,15.0
172,Vasco da Gama S.a.f. - RJ,Vegetti,35' (2ºT),Pablo Ezequiel Vegetti,0.0
173,Atlético Mineiro - MG,Hulk,4' (1ºT),Givanildo Vieira de Sousa,7.0
173,Atlético Mineiro - MG,Pavon,23' (2ºT),Cristian David Pavon,9.0
174,Santos - SP,Marcos Leonardo,45+5' (2ºT),Marcos Leonardo Santos Almeida,9.0
174,Athletico Paranaense - PR,Pablo,30' (1ºT),Pablo Felipe Teixeira,92.0
175,Fortaleza - CE,Tobias,8' (1ºT),Tobias Pereira Figueiredo,0.0
177,Internacional - RS,Luiz Adriano,45+8' (2ºT),Luiz Adriano Souza da Silva,9.0
177,Internacional - RS,Bruno,16' (1ºT),Bruno Henrique Corsini,0.0
177,Corinthians - SP,Fabio Santos,40' (2ºT),Fabio Santos Romeu,6.0
177,Corinthians - SP,Renato Augusto,12' (1ºT),Renato Soares de Oliveira Augusto,0.0
178,Red Bull Bragantino - SP,Sorriso,18' (1ºT),Marcos Vinicios Lopes Moura,27.0
179,Bahia - BA,Everaldo,25' (1ºT),Everaldo Stum,0.0
179,Bahia - BA,Cauly,15' (2ºT),Cauly Oliveira Souza,0.0
179,Bahia - BA,Rafael Ratão,25' (2ºT),Rafael Rogerio da Silva,0.0
179,America Saf - MG,Gonzalo Mastriani,7' (2ºT),Gonzalo Mathias Mastriani Borges,17.0
180,Cuiabá Saf - MT,Deyverson,35' (2ºT),Deyverson Brum Silva,16.0
180,Cuiabá Saf - MT,Matheus Alexandre,1' (2ºT),Matheus Alexandre Anastacio de Souza,2.0
180,Cuiabá Saf - MT,Clayson,9' (2ºT),Clayson Henrique da Silva Vieira,0.0
181,Flamengo - RJ,Pedro,45+6' (2ºT),Pedro Guilherme Abreu dos Santos,9.0
181,São Paulo - SP,Lucas,37' (1ºT),Lucas Rodrigues Moura da Silva,0.0
182,Botafogo - RJ,Joao Victor,9' (2ºT),Joao Victor Santos Sa,7.0
182,Botafogo - RJ,Luis Henrique,27' (2ºT),Luis Henrique Tomaz de Lima,11.0
182,Internacional - RS,Mauricio,17' (1ºT),Mauricio Magalhaes Prado,27.0
182,Internacional - RS,Nicolas Hernandez,12' (2ºT),Nicolas Hernandez Rodriguez,22.0
183,Palmeiras - SP,Lopez,45+5' (2ºT),Jose Manuel Alberto Lopez,18.0
184,Corinthians - SP,Yuri Alberto,8' (2ºT),Yuri Alberto Monteiro da Silva,9.0
184,Corinthians - SP,Wesley,21' (2ºT),Wesley Gassova Ribeiro Teixeira,0.0
184,Corinthians - SP,Gil,6' (2ºT),Carlos Gilberto do Nascimento Silva,4.0
184,Corinthians - SP,Murillo,27' (1ºT),,
185,Red Bull Bragantino - SP,Gustavinho,45+7' (1ºT),Gustavo Ribeiro Neves,22.0
185,Vasco da Gama S.a.f. - RJ,Vegetti,31' (1ºT),Pablo Ezequiel Vegetti,0.0
186,Atlético Mineiro - MG,Paulinho,3' (2ºT),Paulo Henrique Sampaio Filho,10.0
187,Grêmio - RS,Bitello,24' (1ºT),,
187,Grêmio - RS,Ferreira,45' (1ºT),Aldemir dos Santos Ferreira,0.0
187,Fluminense - RJ,German Cano,19' (1ºT),German Ezequiel Cano,14.0
188,Athletico Paranaense - PR,Canobbio,44' (1ºT),Agustin Canobbio Graviz,14.0
188,Athletico Paranaense - PR,Zapelli,37' (2ºT),Bruno Zapelli,0.0
189,Fortaleza - CE,Bruno Pacheco,45' (2ºT),Bruno de Jesus Pacheco,6.0
189,Fortaleza - CE,Caio,37' (2ºT),Caio Alexandre Sousa E Silva,8.0
189,Fortaleza - CE,Machuca,13' (2ºT),Imanol Javier Machuca,0.0
189,Santos - SP,Joao,35' (2ºT),Joao Lucas de Almeida Carvalho,0.0
189,Santos - SP,Joao,35' (2ºT),Joao Othavio Basso,0.0
190,Goiás - GO,Halter,34' (1ºT),Lucas Halter,3.0
191,Fluminense - RJ,German Cano,19' (2ºT),German Ezequiel Cano,14.0
191,Fluminense - RJ,John Kennedy,12' (2ºT),John Kennedy Batista de Souza,9.0
191,Fluminense - RJ,Jhon Arias,43' (2ºT),Jhon Adolfo Arias Andrade,21.0
191,America Saf - MG,Felipe Azevedo,7' (2ºT),Felipe Azevedo dos Santos,11.0
192,Vasco da Gama S.a.f. - RJ,Serginho,5' (1ºT),Sergio Antonio da Luz Junior,0.0
194,Santos - SP,Marcos Leonardo,17' (2ºT),Marcos Leonardo Santos Almeida,9.0
194,Santos - SP,Julio Furch,44' (2ºT),Julio Cesar Furch,0.0
194,Grêmio - RS,Cristaldo,1' (2ºT),Franco Sebastian Cristaldo,19.0
195,Goiás - GO,Alesson,35' (2ºT),Alesson dos Santos Batista,27.0
195,Athletico Paranaense - PR,Vitor Roque,38' (1ºT),Vitor Hugo Roque Ferreira,9.0
196,Cruzeiro Saf - MG,Rafael Papagaio,44' (1ºT),Rafael Elias da Silva,0.0
196,Corinthians - SP,Mosquito,45+7' (2ºT),Gustavo Henric da Silva,0.0
197,Fortaleza - CE,Thiago Galhardo,11' (1ºT),Thiago Galhardo do Nascimento Rocha,91.0
198,Coritiba S.a.f. - PR,Robson,14' (1ºT),Robson dos Santos Fernandes,0.0
198,Coritiba S.a.f. - PR,Edu,1' (2ºT),Eduardo Nascimento da Silva Junior,0.0
198,Flamengo - RJ,Gabriel Barbosa,19' (1ºT),Gabriel Barbosa Almeida,10.0
198,Flamengo - RJ,Gerson,45+4' (2ºT),Gerson Santos da Silva,20.0
198,Flamengo - RJ,De Arrascaeta,30' (1ºT),Giorgian Daniel de Arrascaeta Benedetti,0.0
199,Bahia - BA,Vitor Hugo,37' (1ºT),Vitor Hugo Franchescoli de Souza,0.0
199,Bahia - BA,Mingotti,14' (2ºT),Vinicius Alessandro Mingotti,0.0
199,Bahia - BA,Cauly,38' (2ºT),Cauly Oliveira Souza,0.0
199,Bahia - BA,Rezende,8' (1ºT),Julio Cesar de Rezende Miranda,0.0
200,Palmeiras - SP,Raphael Veiga,30' (1ºT),Raphael Cavalcante Veiga,0.0
200,Palmeiras - SP,Richard Rios,20' (2ºT),Richard Rios Montoya,27.0
202,Botafogo - RJ,Diego Costa,4' (1ºT),Diego da Silva Costa,0.0
202,Botafogo - RJ,Diego Costa,6' (2ºT),Diego da Silva Costa,0.0
202,Botafogo - RJ,Luis Henrique,31' (2ºT),Luis Henrique Tomaz de Lima,11.0
203,Palmeiras - SP,Raphael Veiga,19' (2ºT),Raphael Cavalcante Veiga,0.0
204,Corinthians - SP,Maycon,37' (2ºT),Maycon de Andrade Barberan,7.0
204,Goiás - GO,Guilherme,14' (2ºT),Guilherme Costa Marques,60.0
205,Red Bull Bragantino - SP,Thiago Borbas,9' (2ºT),Thiago Nicolas Borbas Silva,18.0
205,Red Bull Bragantino - SP,Talisson,37' (2ºT),Talisson de Almeida,21.0
206,Atlético Mineiro - MG,Paulinho,12' (1ºT),Paulo Henrique Sampaio Filho,10.0
206,Atlético Mineiro - MG,Paulinho,22' (2ºT),Paulo Henrique Sampaio Filho,10.0
207,Grêmio - RS,Carballo,8' (2ºT),Felipe Ignacio Carballo Ares,0.0
207,Grêmio - RS,Pepe,32' (2ºT),Joao Pedro Vilardi Pinto,0.0
207,Grêmio - RS,Suarez,28' (1ºT),Luis Alberto Suarez Diaz,9.0
208,Athletico Paranaense - PR,Cacá,12' (1ºT),Carlos de Menezes Junior,0.0
208,Athletico Paranaense - PR,Vitor Roque,45+3' (2ºT),Vitor Hugo Roque Ferreira,9.0
208,Fluminense - RJ,Guga,30' (2ºT),Claudio Rodrigues Gomes,23.0
208,Fluminense - RJ,João Neto,42' (2ºT),João Batista da Cruz Santos Neto,0.0
209,Fortaleza - CE,Lucero,41' (1ºT),Juan Martin Lucero,9.0
209,Fortaleza - CE,Lucero,45+3' (1ºT),Juan Martin Lucero,9.0
209,Fortaleza - CE,Marinho,14' (2ºT),Mario Sergio Santos Costa,0.0
209,Coritiba S.a.f. - PR,BENJAMIN,23' (2ºT),Benjamin Kuscevic Jaramillo,0.0
210,America Saf - MG,Gonzalo Mastriani,16' (2ºT),Gonzalo Mathias Mastriani Borges,17.0
210,America Saf - MG,Rodrigo Varanda,45' (2ºT),Rodrigo Santos Varanda,0.0
210,São Paulo - SP,Alexandre Pato,35' (2ºT),Alexandre Rodrigues da Silva,0.0
211,Fluminense - RJ,Diogo Barbosa,45+1' (2ºT),Diogo Barbosa Mendanha,0.0
212,Botafogo - RJ,Marlon Freitas,1' (1ºT),Marlon Rodrigues Freitas,17.0
212,Botafogo - RJ,Joao Victor,18' (1ºT),Joao Victor Santos Sa,7.0
212,Flamengo - RJ,Bruno Henrique,27' (2ºT),Bruno Henrique Pinto,27.0
213,São Paulo - SP,Alan Franco,32' (1ºT),Alan Javier Franco,28.0
213,São Paulo - SP,Luciano,45+12' (1ºT),Luciano da Rocha Neves,10.0
213,Coritiba S.a.f. - PR,Slimani,45+5' (1ºT),Islam Slimani,0.0
217,Grêmio - RS,Suarez,30' (1ºT),Luis Alberto Suarez Diaz,9.0
217,Cuiabá Saf - MT,RIKELME,17' (2ºT),Rikelme Hernandes Amorim Rocha,0.0
218,Athletico Paranaense - PR,Vitor Roque,33' (2ºT),Vitor Hugo Roque Ferreira,9.0
218,Atlético Mineiro - MG,Paulinho,5' (1ºT),Paulo Henrique Sampaio Filho,10.0
219,Bahia - BA,Ademir,44' (1ºT),Ademir da Silva Santos Junior,0.0
219,Vasco da Gama S.a.f. - RJ,Vegetti,18' (2ºT),Pablo Ezequiel Vegetti,0.0
220,America Saf - MG,Juninho,9' (2ºT),Adilson dos Anjos Oliveira,8.0
220,America Saf - MG,Rodrigo Varanda,28' (1ºT),Rodrigo Santos Varanda,0.0
221,Athletico Paranaense - PR,Cacá,27' (1ºT),Carlos de Menezes Junior,0.0
221,Athletico Paranaense - PR,Alex Santana,38' (2ºT),Alex Paulo Menezes Santana,0.0
221,Athletico Paranaense - PR,Vitor Bueno,45+6' (2ºT),Vitor Frezarin Bueno,8.0
222,Vasco da Gama S.a.f. - RJ,Vegetti,4' (2ºT),Pablo Ezequiel Vegetti,0.0
222,Vasco da Gama S.a.f. - RJ,Praxedes,23' (1ºT),Bruno Conceicao Praxedes,0.0
222,Vasco da Gama S.a.f. - RJ,Gabriel Pec,28' (2ºT),Gabriel Fortes Chaves,11.0
222,Vasco da Gama S.a.f. - RJ,Gabriel Pec,39' (2ºT),Gabriel Fortes Chaves,11.0
222,Fluminense - RJ,Marcelo,1' (2ºT),Marcelo Vieira da Silva Junior,0.0
222,Fluminense - RJ,Lima,10' (2ºT),Vinicius Moreira de Lima,45.0
223,Palmeiras - SP,Breno,45+6' (2ºT),Breno Henrique Vasconcelos Lopes,19.0
224,Cruzeiro Saf - MG,Bruno Rodrigues,25' (2ºT),Bruno Rafael Rodrigues do Nascimento,9.0
224,Cruzeiro Saf - MG,Matheus,40' (1ºT),Matheus Isaias dos Santos,18.0
224,Cruzeiro Saf - MG,Nikao,44' (2ºT),Maycon Vinicius Ferreira da Cruz,10.0
225,Red Bull Bragantino - SP,Vitinho,45+1' (1ºT),Vitor Hugo Naum dos Santos,0.0
225,Grêmio - RS,Joao Pedro,19' (1ºT),Joao Pedro Geraldino dos Santos Galvao,18.0
225,Grêmio - RS,Joao Pedro,19' (1ºT),Joao Pedro Maturano dos Santos,18.0
226,Atlético Mineiro - MG,Paulinho,35' (2ºT),Paulo Henrique Sampaio Filho,10.0
227,Internacional - RS,BUSTOS,13' (2ºT),Fabricio Tomas Bustos Sein,0.0
227,Internacional - RS,Rene,25' (2ºT),Rene Rodrigues Martins,6.0
227,São Paulo - SP,Calleri,45+3' (1ºT),Jonathan Calleri,9.0
228,Coritiba S.a.f. - PR,Andrey,45+4' (2ºT),Andrey Ramos do Nascimento,0.0
228,Coritiba S.a.f. - PR,Sebastian Gomez,1' (1ºT),Sebastian Gomez Londono,0.0
228,Bahia - BA,Ademir,34' (1ºT),Ademir da Silva Santos Junior,0.0
228,Bahia - BA,Thaciano,30' (1ºT),Thaciano Mickael da Silva,0.0
228,Bahia - BA,Rafael Ratão,10' (1ºT),Rafael Rogerio da Silva,0.0
228,Bahia - BA,Biel,28' (2ºT),Gabriel Teixeira Aragao,0.0
229,Fortaleza - CE,Lucero,26' (1ºT),Juan Martin Lucero,9.0
229,Fortaleza - CE,Yago,45+3' (2ºT),Glaybson Yago Souza Lisbôa,22.0
229,Corinthians - SP,Pedrinho,32' (1ºT),Pedro Henrique de Assis,27.0
229,Corinthians - SP,Pedrinho,32' (1ºT),Pedro Henrique Silva dos Santos,27.0
230,Cuiabá Saf - MT,Deyverson,35' (1ºT),Deyverson Brum Silva,16.0
230,Cuiabá Saf - MT,Wellington Silva,40' (1ºT),Wellington Alves da Silva,11.0
230,America Saf - MG,Rodrigo,10' (1ºT),Rodrigo Henrique Santos de Souza,0.0
230,America Saf - MG,Felipe Azevedo,31' (1ºT),Felipe Azevedo dos Santos,11.0
231,Fluminense - RJ,Leo Fernandez,21' (2ºT),Leonardo Cecilio Fernandez Lopez,0.0
232,Vasco da Gama S.a.f. - RJ,Zé Gabriel,8' (1ºT),Jose Gabriel dos Santos Silva,0.0
232,Vasco da Gama S.a.f. - RJ,Rossi,33' (1ºT),Rosicley Pereira da Silva,0.0
232,Vasco da Gama S.a.f. - RJ,Gabriel Pec,35' (2ºT),Gabriel Fortes Chaves,11.0
232,Vasco da Gama S.a.f. - RJ,Vegetti,5' (2ºT),Pablo Ezequiel Vegetti,0.0
232,Vasco da Gama S.a.f. - RJ,Vegetti,17' (2ºT),Pablo Ezequiel Vegetti,0.0
232,Coritiba S.a.f. - PR,Sebastian Gomez,34' (2ºT),Sebastian Gomez Londono,0.0
233,São Paulo - SP,James Rodriguez,33' (2ºT),James David Rodriguez Rubio,0.0
233,Fortaleza - CE,Lucero,7' (2ºT),Juan Martin Lucero,9.0
233,Fortaleza - CE,Welison,15' (1ºT),José Welison da Silva,17.0
234,Corinthians - SP,Gil,13' (2ºT),Carlos Gilberto do Nascimento Silva,4.0
236,Atlético Mineiro - MG,Paulinho,41' (1ºT),Paulo Henrique Sampaio Filho,10.0
237,Grêmio - RS,Joao Pedro,9' (1ºT),Joao Pedro Geraldino dos Santos Galvao,18.0
237,Grêmio - RS,Joao Pedro,9' (1ºT),Joao Pedro Maturano dos Santos,18.0
238,Athletico Paranaense - PR,Erick,23' (1ºT),Erick Luis Conrado Carvalho,26.0
238,Athletico Paranaense - PR,Alex Santana,44' (2ºT),Alex Paulo Menezes Santana,0.0
238,Internacional - RS,Carlos de Pena,35' (1ºT),Carlos Maria de Pena Bonino,14.0
239,Bahia - BA,Camilo Cándido,14' (2ºT),Camilo Damian Candido Aquino,0.0
239,Santos - SP,Marcos Leonardo,27' (2ºT),Marcos Leonardo Santos Almeida,9.0
239,Santos - SP,Julio Furch,45+4' (2ºT),Julio Cesar Furch,0.0
240,Red Bull Bragantino - SP,Jadsom Silva,35' (1ºT),Jadsom Meemyas de Oliveira da Silva,5.0
240,Red Bull Bragantino - SP,Evangelista,45+9' (2ºT),Lucas Evangelista Santana de Oliveira,8.0
241,Flamengo - RJ,Pedro,15' (2ºT),Pedro Guilherme Abreu dos Santos,9.0
242,Botafogo - RJ,Tiquinho,6' (2ºT),Francisco das Chagas Soares dos Santos,9.0
242,Goiás - GO,Halter,26' (1ºT),Lucas Halter,3.0
243,São Paulo - SP,Calleri,40' (1ºT),Jonathan Calleri,9.0
243,São Paulo - SP,Calleri,45+2' (1ºT),Jonathan Calleri,9.0
243,Corinthians - SP,Angel Romero,3' (1ºT),Angel Rodrigo Romero Villamayor,11.0
244,Santos - SP,Marcos Leonardo,14' (1ºT),Marcos Leonardo Santos Almeida,9.0
244,Santos - SP,Marcos Leonardo,45+2' (1ºT),Marcos Leonardo Santos Almeida,9.0
244,Santos - SP,Yeferson Soteldo,29' (2ºT),Yeferson Julio Soteldo Martinez,10.0
244,Santos - SP,Tomás Rincón,45' (1ºT),Tomás Eduardo Rincón Hernández,0.0
244,Vasco da Gama S.a.f. - RJ,Vegetti,30' (1ºT),Pablo Ezequiel Vegetti,0.0
245,Red Bull Bragantino - SP,Eduardo Sasha,36' (2ºT),Eduardo Colcenti Antunes,19.0
245,Red Bull Bragantino - SP,Eric Ramires,44' (2ºT),Eric dos Santos Rodrigues,7.0
245,Palmeiras - SP,Endrick,15' (1ºT),Endrick Felipe Moreira de Sousa,9.0
246,Cruzeiro Saf - MG,Luciano Castan,20' (1ºT),Luciano Castan da Silva,4.0
246,America Saf - MG,Martin Benitez,28' (1ºT),Martin Nicolas Benitez,0.0
247,Atlético Mineiro - MG,Hulk,28' (2ºT),Givanildo Vieira de Sousa,7.0
247,Atlético Mineiro - MG,Igor Gomes,38' (2ºT),Igor Silveira Gomes,17.0
248,Coritiba S.a.f. - PR,Victor,13' (1ºT),Victor Luis Chuab Zamblauskas,0.0
248,Coritiba S.a.f. - PR,Slimani,45+3' (1ºT),Islam Slimani,0.0
249,Fortaleza - CE,Thiago Galhardo,43' (1ºT),Thiago Galhardo do Nascimento Rocha,91.0
249,Grêmio - RS,Suarez,34' (2ºT),Luis Alberto Suarez Diaz,9.0
250,Cuiabá Saf - MT,Clayson,11' (2ºT),Clayson Henrique da Silva Vieira,0.0
250,Cuiabá Saf - MT,ALAN,18' (2ºT),Alan Pereira Empereur,33.0
250,Cuiabá Saf - MT,Fernando,41' (2ºT),Fernando Pereira do Nascimento,88.0
251,Botafogo - RJ,Tiquinho,22' (1ºT),Francisco das Chagas Soares dos Santos,9.0
251,Botafogo - RJ,Junior,19' (1ºT),Jose Antonio dos Santos Junior,37.0
